name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Lawrence Vigouroux,181,3,0,0,0,0,0,0,0,0.2,-1786,0,4.0,0,0.0
Lawrence Vigouroux,181,4,0,0,0,0,0,0,0,0.2,-2487,0,4.0,0,0.0
Lawrence Vigouroux,181,5,0,0,0,0,0,0,0,0.2,-2862,0,4.0,0,0.0
Lawrence Vigouroux,181,6,0,0,0,0,0,0,0,0.2,-3418,0,4.0,0,0.0
Loris Karius,580,1,0,0,0,0,0,0,0,0.3,-434,0,4.0,0,0.0
Loris Karius,580,2,0,0,0,0,0,0,0,0.3,-1644,0,4.0,0,0.0
Loris Karius,580,3,0,0,0,0,0,0,0,0.3,-2278,0,4.0,0,0.0
Loris Karius,580,4,0,0,0,0,0,0,0,0.2,-2960,0,4.0,0,0.0
Loris Karius,580,5,0,0,0,0,0,0,0,0.2,-3359,0,4.0,0,0.0
Loris Karius,580,6,0,0,0,0,0,0,0,0.2,-4148,0,4.0,0,0.0
Lucas Bergström,659,1,0,0,0,0,0,0,0,0.0,137,0,4.0,0,0.0
Lucas Bergström,659,2,0,0,0,0,0,0,0,0.0,496,0,4.0,0,0.0
Lucas Bergström,659,3,0,0,0,0,0,0,0,0.0,501,0,4.0,0,0.0
Lucas Bergström,659,4,0,0,0,0,0,0,0,0.0,440,0,4.0,0,0.0
Lucas Bergström,659,5,0,0,0,0,0,0,0,0.0,444,0,4.0,0,0.0
Lucas Bergström,659,6,0,0,0,0,0,0,0,0.0,431,0,4.0,0,0.0
Lukasz Fabianski,533,1,0,0,0,0,0,0,0,3.1,-17552,0,4.5,0,0.0
Lukasz Fabianski,533,2,0,0,0,0,0,0,0,2.6,-53348,0,4.5,0,0.0
Lukasz Fabianski,533,3,0,0,0,0,0,0,0,2.3,-73145,0,4.4,0,0.0
Lukasz Fabianski,533,4,0,0,0,0,0,0,0,2.0,-97421,0,4.4,0,0.0
Lukasz Fabianski,533,5,0,0,0,0,0,0,0,1.9,-111266,0,4.4,0,0.0
Lukasz Fabianski,533,6,0,0,0,0,0,0,0,1.7,-124204,0,4.3,0,0.0
Marcus Bettinelli,192,1,0,0,0,0,0,0,0,0.0,-188,0,4.0,0,0.0
Marcus Bettinelli,192,2,0,0,0,0,0,0,0,0.0,-398,0,4.0,0,0.0
Marcus Bettinelli,192,3,0,0,0,0,0,0,0,0.0,-484,0,4.0,0,0.0
Marcus Bettinelli,192,4,0,0,0,0,0,0,0,0.0,-591,0,4.0,0,0.0
Marcus Bettinelli,192,5,0,0,0,0,0,0,0,0.0,-606,0,4.0,0,0.0
Marcus Bettinelli,192,6,0,0,0,0,0,0,0,0.0,-622,0,4.0,0,0.0
Marek Rodák,284,1,0,0,0,0,0,0,0,0.4,-465,0,4.0,0,0.0
Marek Rodák,284,2,0,0,0,0,0,0,0,0.4,-2457,0,4.0,0,0.0
Marek Rodák,284,3,0,0,0,0,0,0,0,0.4,-3872,1,4.0,-1,0.0
Marek Rodák,284,4,0,0,0,0,0,0,0,0.4,-5457,1,4.0,-1,-0.16666666666666669
Marek Rodák,284,5,0,0,0,0,0,0,0,0.4,-6372,1,4.0,-1,0.06666666666666665
Marek Rodák,284,6,0,0,0,0,0,0,0,0.3,-7629,1,4.0,-1,0.33333333333333337
Mark Flekken,101,1,0,0,2,90,0,0,4,2.0,2717,0,4.5,2,0.0
Mark Flekken,101,2,0,1,2,180,0,0,6,2.3,31043,0,4.5,8,0.0
Mark Flekken,101,3,1,1,3,270,0,0,10,2.5,52492,0,4.5,12,0.0
Mark Flekken,101,4,1,1,5,360,0,0,13,2.9,93162,0,4.5,14,1.666666666666667
Mark Flekken,101,5,1,1,6,450,0,0,14,3.1,110124,1,4.5,15,-1.1333333333333346
Mark Flekken,101,6,1,1,9,540,0,0,17,3.8,179478,1,4.5,17,-2.333333333333332
Mark Gillespie,411,1,0,0,0,0,0,0,0,0.1,-195,0,4.0,0,0.0
Mark Gillespie,411,2,0,0,0,0,0,0,0,0.1,-606,0,4.0,0,0.0
Mark Gillespie,411,3,0,0,0,0,0,0,0,0.1,-830,0,4.0,0,0.0
Mark Gillespie,411,4,0,0,0,0,0,0,0,0.1,-1107,0,4.0,0,0.0
Mark Gillespie,411,5,0,0,0,0,0,0,0,0.1,-1233,0,4.0,0,0.0
Mark Gillespie,411,6,0,0,0,0,0,0,0,0.1,-1438,0,4.0,0,0.0
